payment_id,order_id,payment_date,payment_method,amount,currency
PAY000158,ORD004520,2024-11-28,UPI,835.98,USD
PAY000159,ORD001980,2023-01-03,UPI,2979.78,GBP
PAY000160,ORD004426,2023-06-16,Wallet,3571.1,USD
PAY000161,ORD004892,2024-09-13,Debit Card,118.4,USD
PAY000162,ORD001165,2023-05-31,Wallet,1618.2,EUR
PAY000163,ORD000833,2025-04-13,Debit Card,3831.11,INR
PAY000164,ORD000521,2022-12-27,Net Banking,4212.58,INR
PAY000165,ORD003182,2022-09-06,UPI,3465.84,EUR
PAY000166,ORD003297,2024-07-02,Credit Card,4963.01,GBP
PAY000167,ORD001122,2023-03-05,UPI,3087.5,INR
PAY000168,ORD001504,2023-03-10,Net Banking,1949.72,USD
PAY000169,ORD001142,2024-07-23,Credit Card,,GBP
PAY000170,ORD000423,2024-04-12,Credit Card,3209.41,EUR
PAY000171,ORD004886,2023-04-07,Net Banking,1499.14,INR
PAY000172,ORD001340,2024-08-01,UPI,2106.64,USD
PAY000173,ORD002129,2024-05-19,Credit Card,2232.08,EUR
PAY000174,ORD001097,2025-04-15,Wallet,2899.51,INR
PAY000175,ORD002875,2023-10-19,Credit Card,3114.41,USD
PAY000176,ORD004159,2024-08-16,Credit Card,3370.02,USD
PAY000177,ORD004377,2023-08-11,Net Banking,474.58,USD
PAY000178,ORD003393,2025-06-07,Debit Card,,INR
PAY000179,ORD002500,2024-11-22,Debit Card,2734.13,INR
PAY000180,ORD000686,2025-06-23,UPI,2600.61,INR
PAY000181,ORD001067,2023-10-21,Net Banking,762.98,INR
PAY000182,ORD004998,2023-07-03,Credit Card,365.6,USD
PAY000183,ORD001047,2024-08-16,Debit Card,3079.18,EUR
PAY000184,ORD000941,2023-07-09,Credit Card,4704.66,INR
PAY000185,ORD002688,2023-07-22,Debit Card,3347.47,USD
PAY000186,ORD002773,2023-11-10,Wallet,3515.85,INR
PAY000187,ORD004501,2023-03-23,Wallet,2012.98,EUR
PAY000188,ORD000438,2024-08-15,Wallet,441.1,EUR
PAY000189,ORD000738,2025-07-11,Net Banking,4854.26,USD
PAY000190,ORD002430,2022-12-15,UPI,3059.35,INR
PAY000191,ORD003595,2023-06-20,Net Banking,1005.14,GBP
PAY000192,ORD004413,2024-05-04,Wallet,114.54,GBP
PAY000193,ORD003714,1992/10/03,UPI,1096.24,EUR
PAY000194,ORD001486,2022-10-28,UPI,2950.09,USD
PAY000195,ORD001908,2023-12-20,Credit Card,3821.73,GBP
PAY000196,ORD004315,2023-04-10,UPI,4434.46,GBP
PAY000197,ORD002051,2025-01-08,UPI,3797.77,GBP
PAY000198,ORD003612,2024-03-20,Credit Card,2516.46,USD
PAY000199,ORD001415,2025-04-02,Credit Card,3988.24,EUR
PAY000200,ORD000189,2024-09-02,Net Banking,3586.49,INR
PAY000201,ORD002919,2022-10-22,Debit Card,1082.8,EUR
PAY000202,ORD002894,2023-04-05,Wallet,2787.49,EUR
PAY000203,ORD002605,2023-10-28,Net Banking,2007.85,EUR
PAY000204,ORD004840,2023-07-26,Wallet,3501.8,INR
PAY000205,ORD001677,2025-03-27,Credit Card,4830.49,EUR
PAY000206,ORD004889,2024-04-15,Wallet,,GBP
PAY000207,ORD000623,2023-05-29,Wallet,503.62,GBP
PAY000208,ORD002248,2023-06-19,Net Banking,4058.46,EUR
PAY000209,ORD000641,1974/04/09,Wallet,3364.55,EUR
PAY000210,ORD000406,2023-01-25,Wallet,827.24,INR
PAY000211,ORD002171,2023-10-17,Credit Card,3967.35,EUR
PAY000212,ORD004742,2024-01-30,UPI,181.74,EUR
PAY000213,ORD000916,2024-07-01,Debit Card,4201.93,INR
PAY000214,ORD001947,2022-12-31,Net Banking,3853.19,USD
PAY000215,ORD002854,2023-03-07,Debit Card,4096.12,USD
PAY000216,ORD001129,2023-12-05,Credit Card,4488.09,INR
PAY000217,ORD003526,2025-06-22,UPI,4193.2,EUR
PAY000218,ORD000805,2024-06-14,Credit Card,2651.02,EUR
PAY000219,ORD002153,1992/08/16,Credit Card,817.03,USD
PAY000220,ORD004279,2023-02-06,Wallet,1464.95,GBP
PAY000221,ORD003191,2024-07-27,Credit Card,1222.12,EUR
PAY000222,ORD001999,2023-06-01,Credit Card,4695.89,EUR
PAY000223,ORD001271,2024-09-13,UPI,4615.86,INR
PAY000224,ORD001353,2025-03-29,Wallet,1503.55,GBP
PAY000225,ORD004171,2024-09-27,Net Banking,836.6,USD
PAY000226,ORD004626,2024-08-18,Net Banking,4752.04,USD
PAY000227,ORD002567,2024-08-07,Credit Card,601.52,USD
PAY000228,ORD002255,2024-09-12,Wallet,417.22,EUR
PAY000229,ORD001705,2025-07-22,Credit Card,1430.95,EUR
PAY000230,ORD002827,2022-10-17,Credit Card,3773.9,EUR
PAY000231,ORD004967,2022-10-23,Debit Card,4767.49,INR
PAY000232,ORD003034,2025-05-08,Net Banking,2113.7,INR
PAY000233,ORD003530,2023-03-18,Debit Card,1818.62,USD
PAY000234,ORD004773,2023-08-16,Wallet,1239.48,GBP
PAY000235,ORD000477,2023-02-14,Debit Card,1172.77,EUR
PAY000236,ORD002014,2024-04-30,UPI,1714.29,USD
PAY000237,ORD003772,2025-05-14,Credit Card,1582.76,USD
PAY000238,ORD000509,2023-01-02,Debit Card,1544.72,USD
PAY000239,ORD001496,1986/09/22,Credit Card,219.79,GBP
PAY000240,ORD003028,2022-10-05,Wallet,4337.2,INR
PAY000241,ORD001413,2024-09-19,Net Banking,3916.83,INR
PAY000242,ORD002138,2023-01-26,Credit Card,3925.62,EUR
PAY000243,ORD004329,2024-01-16,Credit Card,3829.77,GBP
PAY000244,ORD000004,2024-08-07,Credit Card,1792.72,USD
PAY000245,ORD001671,2023-11-16,Wallet,4010.76,GBP
PAY000246,ORD004975,2024-11-11,UPI,2823.1,GBP
PAY000247,ORD002651,2025-05-14,Net Banking,1635.02,GBP
PAY000248,ORD002006,2024-08-19,Debit Card,2312.04,INR
PAY000249,ORD004751,2024-08-12,Wallet,626.34,GBP
PAY000250,ORD001416,2025-01-05,UPI,3426.5,GBP
PAY000251,ORD000346,2025-06-05,Wallet,908.65,EUR
PAY000252,ORD004138,2023-07-01,Debit Card,,EUR
PAY000253,ORD000074,2024-06-05,Wallet,3732.35,EUR
PAY000254,ORD000989,2022-12-01,Debit Card,4686.95,GBP
PAY000255,ORD002483,2025-04-27,Wallet,3963.61,EUR
PAY000256,ORD000004,2023-10-13,Wallet,169.48,GBP
PAY000257,ORD003368,2023-01-01,Wallet,2057.76,EUR
PAY000258,ORD002878,2024-12-01,Credit Card,2309.35,GBP
PAY000259,ORD000801,2025-05-21,Credit Card,4551.24,GBP
PAY000260,ORD004651,2025-06-18,Wallet,2789.78,EUR
PAY000261,ORD003475,2024-02-02,UPI,2673.69,EUR
PAY000262,ORD000359,2023-11-28,Debit Card,305.92,GBP
PAY000263,ORD002653,2023-07-13,UPI,3576.43,USD
PAY000264,ORD002193,2023-03-14,Debit Card,808.97,EUR
PAY000265,ORD002899,2023-07-24,Debit Card,245.7,INR
PAY000266,ORD004890,2022-10-18,Debit Card,3696.2,GBP
PAY000267,ORD003883,2023-12-19,UPI,4818.94,GBP
PAY000268,ORD004069,2024-06-29,Debit Card,2013.42,GBP
PAY000269,ORD004743,2022-12-08,Net Banking,2152.45,EUR
PAY000270,ORD000473,2019/05/23,Wallet,3621.59,USD
PAY000271,ORD000810,2024-02-24,Wallet,1931.39,USD
PAY000272,ORD004394,2023-01-21,UPI,863.7,INR
PAY000273,ORD000984,2022-12-19,Net Banking,3631.57,INR
PAY000274,ORD002267,2024-04-28,Wallet,2910.77,GBP
PAY000275,ORD003781,2024-05-03,Debit Card,2554.93,USD
PAY000276,ORD003027,2023-08-05,UPI,3950.95,USD
PAY000277,ORD003729,2023-10-26,Credit Card,2804.6,GBP
PAY000278,ORD001846,1970/12/27,UPI,4059.11,INR
PAY000279,ORD002343,2024-10-05,Net Banking,566.91,GBP
PAY000280,ORD002049,2023-11-13,Credit Card,2412.41,INR
PAY000281,ORD001001,2023-06-26,UPI,232.84,EUR
PAY000282,ORD003845,2023-09-24,Debit Card,3670.02,INR
PAY000283,ORD000607,2024-01-17,Credit Card,4768.03,EUR
PAY000284,ORD004914,2024-02-13,Wallet,4462.2,USD
PAY000285,ORD000252,2022-09-21,Net Banking,3503.74,GBP
PAY000286,ORD004787,2023-11-30,UPI,2390.61,USD
PAY000287,ORD003042,2023-11-23,Wallet,225.21,INR
PAY000288,ORD004123,2025-08-27,Credit Card,2664.76,EUR
PAY000289,ORD000553,2022-09-14,UPI,1268.42,EUR
PAY000290,ORD004144,2023-11-30,UPI,2376.83,INR
PAY000291,ORD001223,2024-11-27,UPI,4013.59,GBP
PAY000292,ORD003454,2009/11/01,UPI,2445.93,INR
PAY000293,ORD004206,2023-06-19,UPI,608.67,EUR
PAY000294,ORD003782,2022-11-17,UPI,4106.43,USD
PAY000295,ORD002030,2024-03-29,Wallet,1457.04,INR
PAY000296,ORD000813,2019/03/19,Debit Card,2677.95,USD
PAY000297,ORD002425,2025-07-23,Debit Card,3718.92,EUR
PAY000298,ORD002079,2023-11-12,Net Banking,2795.36,GBP
PAY000299,ORD001938,2024-02-06,Debit Card,2069.02,EUR
PAY000300,ORD004029,2022-10-12,Debit Card,68.3,GBP
PAY000301,ORD001843,2005/07/01,Credit Card,564.08,EUR
PAY000302,ORD004734,2024-05-25,Debit Card,1752.77,EUR
PAY000303,ORD000536,2024-06-12,Net Banking,,EUR
PAY000304,ORD003854,2023-04-17,Net Banking,1552.37,EUR
PAY000305,ORD001062,2025-08-13,Debit Card,354.48,EUR
PAY000306,ORD003312,2023-07-21,Wallet,1015.35,INR
PAY000307,ORD001691,2022-12-27,Wallet,3605.66,GBP
PAY000308,ORD002249,1999/03/26,Net Banking,3906.74,USD
PAY000309,ORD001521,1995/09/07,UPI,4873.9,GBP
PAY000310,ORD003849,2005/09/02,UPI,3572.25,USD
PAY000311,ORD000795,2024-07-15,Credit Card,1788.46,GBP
PAY000312,ORD004996,2024-06-02,Credit Card,3686.68,EUR
PAY000313,ORD003598,2025-03-01,Debit Card,1420.18,INR
PAY000314,ORD002966,2010/05/21,Debit Card,2106.19,USD
PAY000315,ORD002094,2023-05-26,Wallet,4265.5,INR
PAY000316,ORD004448,2025-01-21,Net Banking,1802.8,EUR
PAY000317,ORD002162,1979/02/22,Debit Card,469.42,EUR
PAY000318,ORD003088,2025-08-07,Credit Card,2304.65,EUR
PAY000319,ORD001930,2022-12-07,Net Banking,1578.01,USD
PAY000320,ORD003493,2024-01-01,Wallet,1900.8,EUR
PAY000321,ORD001741,2023-09-14,Net Banking,2203.08,USD
PAY000322,ORD003973,2023-04-04,Wallet,1184.41,USD
PAY000323,ORD003689,2023-10-29,Wallet,3989.41,USD
PAY000324,ORD003518,2024-02-11,Debit Card,38.7,USD
PAY000325,ORD001700,2023-07-31,UPI,3934.38,GBP
PAY000326,ORD002079,2022-09-01,UPI,1771.35,EUR
PAY000327,ORD004613,2023-03-29,Wallet,354.3,EUR
PAY000328,ORD001509,2025-07-31,Credit Card,4418.37,INR
PAY000329,ORD003886,2024-02-11,Net Banking,4100.92,USD
PAY000330,ORD001106,2022-11-05,Credit Card,1389.91,GBP
PAY000331,ORD004280,2023-01-23,Credit Card,4033.51,EUR
PAY000332,ORD003854,1979/11/26,Debit Card,557.06,INR
PAY000333,ORD003118,2024-12-19,Wallet,3210.15,INR
PAY000334,ORD004946,2022-11-22,Credit Card,1249.09,EUR
PAY000335,ORD004694,2024-07-03,Credit Card,3534.9,INR
PAY000336,ORD001595,2024-03-02,Credit Card,1946.27,EUR
PAY000337,ORD004560,2025-02-14,Wallet,1095.32,INR
PAY000338,ORD000281,2024-10-02,Wallet,3159.58,EUR
PAY000339,ORD003554,2024-06-01,UPI,4646.38,USD
PAY000340,ORD001916,2024-07-06,Net Banking,1171.36,INR
PAY000341,ORD001584,2022-11-03,Credit Card,4918.29,USD
PAY000342,ORD003337,2023-05-26,UPI,1368.72,GBP
PAY000343,ORD002160,2024-10-25,Debit Card,2915.69,GBP
PAY000344,ORD001275,1991/02/02,Credit Card,98.05,GBP
PAY000345,ORD001937,2025-03-04,Net Banking,2896.14,GBP
PAY000346,ORD000850,2023-11-05,Wallet,1626.24,USD
PAY000347,ORD001373,2024-04-27,Debit Card,1220.18,EUR
PAY000348,ORD004565,2024-04-26,Debit Card,4673.8,EUR
PAY000349,ORD004010,2023-08-01,Credit Card,3707.68,GBP
PAY000350,ORD002482,1993/07/06,Credit Card,2935.88,EUR
PAY000351,ORD003781,2023-04-24,UPI,4964.98,GBP
PAY000352,ORD003015,2024-01-15,Net Banking,2427.99,GBP
PAY000353,ORD000186,2023-08-19,Wallet,206.44,USD
PAY000354,ORD003132,2021/05/27,Debit Card,1974.67,USD
PAY000355,ORD003173,2024-12-02,Debit Card,4621.78,USD
PAY000356,ORD003500,2019/06/27,Net Banking,244.56,USD
PAY000357,ORD003319,2023-10-14,Net Banking,1426.48,GBP
PAY000358,ORD002419,2023-02-13,Wallet,255.91,EUR
PAY000359,ORD002726,2025-07-12,Credit Card,3116.04,GBP
PAY000360,ORD003417,2025-08-08,Debit Card,1691.66,EUR
PAY000361,ORD001381,2022-11-22,Net Banking,1223.17,USD
PAY000362,ORD001196,2025-06-15,Debit Card,579.21,EUR
PAY000363,ORD000325,2024-01-10,Net Banking,1849.18,INR
PAY000364,ORD002176,2022-10-12,Wallet,4573.58,EUR
PAY000365,ORD002045,2024-07-15,Debit Card,3617.39,GBP
PAY000366,ORD004886,2024-02-20,Credit Card,3902.33,INR
PAY000367,ORD002239,2023-01-11,Net Banking,1522.31,EUR
PAY000368,ORD002892,2024-10-20,Credit Card,1922.77,EUR
PAY000369,ORD004081,2024-03-24,Debit Card,3118.69,GBP
PAY000370,ORD003229,2025-08-10,Credit Card,4557.85,GBP
PAY000371,ORD004195,2024-07-29,UPI,,INR
PAY000372,ORD000544,2023-09-22,UPI,1201.87,USD
PAY000373,ORD002638,2025-06-15,Credit Card,3356.36,GBP
PAY000374,ORD000544,2025-05-30,UPI,4848.8,GBP
PAY000375,ORD004621,2024-09-11,Net Banking,2925.42,USD
PAY000376,ORD003677,2022-09-10,UPI,1020.32,USD
PAY000377,ORD004988,2023-03-10,Net Banking,497.18,GBP
PAY000378,ORD001882,2024-05-29,Net Banking,4062.76,USD
PAY000379,ORD004922,2025-07-14,Credit Card,1742.98,USD
PAY000380,ORD002452,2025-05-20,Net Banking,4372.05,INR
PAY000381,ORD003894,2023-09-19,Debit Card,1300.45,EUR
PAY000382,ORD003501,2023-11-21,UPI,2693.32,USD
PAY000383,ORD001608,2023-01-10,Net Banking,2195.67,GBP
PAY000384,ORD000206,1982/03/29,Debit Card,1697.66,EUR
PAY000385,ORD002552,2021/10/28,Credit Card,3689.32,USD
PAY000386,ORD003098,2024-04-08,Wallet,3591.87,USD
PAY000387,ORD003294,2024-06-24,UPI,1601.02,INR
PAY000388,ORD000696,2023-10-30,Credit Card,4158.55,INR
PAY000389,ORD002002,2025-08-07,Net Banking,,INR
PAY000390,ORD003527,2023-02-16,Credit Card,1503.91,EUR
PAY000391,ORD000778,2025-08-14,Debit Card,,INR
PAY000392,ORD000128,2024-03-01,Wallet,4281.59,USD
PAY000393,ORD004562,2024-08-28,Debit Card,,INR
PAY000394,ORD004129,2023-04-17,Net Banking,4974.99,INR
PAY000395,ORD004803,2022-11-13,Credit Card,1433.95,INR
PAY000396,ORD001698,2023-12-29,Credit Card,4424.77,USD
PAY000397,ORD001811,2024-05-22,UPI,3712.38,USD
PAY000398,ORD000003,2024-02-04,Debit Card,4860.63,EUR
PAY000399,ORD001167,2024-02-11,Debit Card,1372.38,INR
PAY000400,ORD000221,2024-09-28,Net Banking,677.74,USD
PAY000401,ORD002334,2024-04-30,Wallet,824.78,GBP
PAY000402,ORD000322,2023-08-19,Net Banking,3856.98,EUR
PAY000403,ORD002703,2025-07-24,Credit Card,3633.91,INR
PAY000404,ORD002757,2024-02-06,UPI,2437.82,INR
PAY000405,ORD000122,2024-08-15,UPI,4734.93,EUR
PAY000406,ORD000410,2022-12-22,Net Banking,1284.23,EUR
PAY000407,ORD000011,2024-03-12,Credit Card,1350.01,EUR
PAY000408,ORD004342,2025-03-14,UPI,64.97,GBP
PAY000409,ORD002493,2024-12-18,Wallet,2741.66,INR
PAY000410,ORD002655,1992/04/10,Debit Card,220.98,USD
PAY000411,ORD000167,2025-01-25,UPI,2690.86,GBP
PAY000412,ORD000874,2025-01-26,UPI,3153.92,INR
PAY000413,ORD000768,2022-12-16,Debit Card,927.03,INR
PAY000414,ORD000172,2024-08-20,Net Banking,454.97,EUR
PAY000415,ORD003736,2022-10-02,UPI,2104.48,EUR
PAY000416,ORD004408,2024-03-21,Net Banking,3636.69,GBP
PAY000417,ORD000185,2025-07-07,Wallet,3349.23,GBP
PAY000418,ORD003489,2024-05-08,Wallet,2692.9,USD
PAY000419,ORD001331,2024-01-29,Wallet,4990.18,INR
PAY000420,ORD004574,2023-03-31,Net Banking,1306.96,GBP
PAY000421,ORD003885,2023-04-07,Wallet,926.07,GBP
PAY000422,ORD002966,2023-04-25,Net Banking,4848.89,USD
PAY000423,ORD001340,2023-01-10,Debit Card,,USD
PAY000424,ORD000499,2025-02-21,Debit Card,,GBP
PAY000425,ORD000306,2024-09-30,Net Banking,162.25,GBP
PAY000426,ORD001749,2024-04-04,Net Banking,2351.24,INR
PAY000427,ORD004279,2024-02-06,Net Banking,2921.23,EUR
PAY000428,ORD001508,2024-03-09,Debit Card,4926.54,INR
